text_type,text,label,proc_text
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",1,go jurong point crazy available bugis n great world la e buffet cine got amore wat
ham,Ok lar... Joking wif u oni...,1,ok lar joking wif u oni
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,0,free entry 2 wkly comp win fa cup final tkts 21st may 2005 text fa 87121 receive entry questionstd txt ratetcs apply 08452810075over18s
ham,U dun say so early hor... U c already then say...,1,u dun say early hor u c already say
ham,"Nah I don't think he goes to usf, he lives around here though",1,nah dont think go usf life around though
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, ??1.50 to rcv",0,freemsg hey darling 3 week word back id like fun still tb ok xxx std chgs send 150 rcv
ham,Even my brother is not like to speak with me. They treat me like aids patent.,1,even brother like speak treat like aid patent
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,1,per request melle melle oru minnaminunginte nurungu vettam ha set callertune caller press 9 copy friend callertune
spam,WINNER!! As a valued network customer you have been selected to receivea ??900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,0,winner valued network customer selected receivea 900 prize reward claim call 09061701461 claim code kl341 valid 12 hour
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,0,mobile 11 month u r entitled update latest colour mobile camera free call mobile update co free 08002986030
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",1,im gon na home soon dont want talk stuff anymore tonight k ive cried enough today
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",0,six chance win cash 100 20000 pound txt csh11 send 87575 cost 150pday 6days 16 tsandcs apply reply hl 4 info
spam,"URGENT! You have won a 1 week FREE membership in our ??100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",0,urgent 1 week free membership 100000 prize jackpot txt word claim 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,1,ive searching right word thank breather promise wont take help granted fulfil promise wonderful blessing time
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,1,date sunday
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",0,xxxmobilemovieclub use credit click wap link next txt message click httpwap xxxmobilemovieclubcomnqjkgighjjgcbl
ham,Oh k...i'm watching here:),1,oh kim watching
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,1,eh u remember 2 spell name yes v naughty make v wet
ham,Fine if that??s the way u feel. That??s the way its gota b,1,fine thats way u feel thats way gota b
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/??1.20 POBOXox36504W45WQ 16+",0,england v macedonia dont miss goalsteam news txt ur national team 87077 eg england 87077 trywales scotland 4txt120 poboxox36504w45wq 16
ham,Is that seriously how you spell his name?,1,seriously spell name
ham,I???m going to try for 2 months ha ha only joking,1,im going try 2 month ha ha joking
ham,So ?_ pay first lar... Then when is da stock comin...,1,pay first lar da stock comin
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,1,aft finish lunch go str lor ard 3 smth lor u finish ur lunch already
ham,Ffffffffff. Alright no way I can meet up with you sooner?,1,ffffffffff alright way meet sooner
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,1,forced eat slice im really hungry tho suck mark getting worried know im sick turn pizza lol
ham,Lol your always so convincing.,1,lol always convincing
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,1,catch bus frying egg make tea eating mom left dinner feel love
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",1,im back amp packing car ill let know room
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,1,ahhh work vaguely remember doe feel like lol
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",1,wait thats still clear sure sarcastic thats x doesnt want live u
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,1,yeah got 2 wa v apologetic n fallen wa actin like spoilt child got caught till 2 wont go badly cheer
ham,K tell me anything about you.,1,k tell anything
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,1,fear fainting housework quick cuppa
spam,Thanks for your subscription to Ringtone UK your mobile will be charged ??5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,0,thanks subscription ringtone uk mobile charged 5month please confirm replying yes reply charged
ham,Yup... Ok i go home look at the timings then i msg ?_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,1,yup ok go home look timing msg xuhui going learn 2nd may lesson 8am
ham,"Oops, I'll let you know when my roommate's done",1,oops ill let know roommate done
ham,I see the letter B on my car,1,see letter b car
ham,Anything lor... U decide...,1,anything lor u decide
